# Oritasy whole-game ZH dictionary (English<TAB>中文)
# Generated for 0.0.9.50C — menus/keybinds/encyclopedia/HUD
# Lines starting with # ignored. Descriptions may use \n escapes.
# Expand path: append more EN\tZH rows; restart or toggle language.
Set From Current	从当前设置
SFB-81 Darkreach	SFB-81XE 暗域
Shard Class Corvette	碎片级护卫艇
Short range 70mm rocket with a laser guidance package providing limited maneuverability. Launching aircraft must aim at the target and keep it selected to provide guidance.	短程 70mm 激光制导火箭，机动有限；发射机必须瞄准目标并保持选定以提供制导。
Short-range anti-tank guided missile designed for knocking out vehicles, emplacements,  and small buildings	短程反坦克导弹，用于摧毁车辆、工事与小型建筑。
Short-range heat seeking missile ideal for attacking fast and maneuverable aircraft	短程红外寻的导弹，适合打击快速高机动飞机。
Side panels position	侧面板位置
Single	单个
Single Concrete barrier	单体混凝土路障
Single Concrete wall	单体混凝土墙
Single Container	单体集装箱
Single-use container for replenishing a warship's ammunition stores. Has floatation devices and can be picked up by ships within 200m after being placed in the water.	一次性舰艇弹药补给集装箱，有浮具，入水后 200m 内可被舰船拾取。
Single-use pallet for replenishing a warship's ammunition stores. Has floatation devices and can be picked up by ships within 200m after being placed in the water.	一次性舰艇弹药补给托盘，有浮具，入水后 200m 内可被舰船拾取。
SLING	吊运
Sloped Platform	斜坡平台
Slower firing than its rotary counterparts, the 27mm Autocannon packs a heavier punch and is effective against both aircraft and moderately armored surface targets.	射速低于转管型，但单发威力更大，对飞机与中等装甲地面目标均有效。
Small Munitions Pallet	小型弹药托盘
Small Platform	小型平台
Small Platform Columns	小型平台立柱
Solar Panels	太阳能电池板
SOUTH BOSCALI GENERAL AVIATION	南博斯卡利通用航空
Spearhead MBT	矛头 主战坦克
Special Flare	特殊热焰弹
Special Smoke	特殊烟雾
Sporting a powerful autocannon and anti-armor missiles, the Linebreaker Infantry Fighting Vehicle is a versatile unit capable of engaging both air and ground threats	装备强力机炮与反装甲导弹，可对空对地多种威胁作战。
Square rampart to provide cover for vehicles	方形壁垒斜坡，为车辆提供掩护
Stacked Containers	堆叠集装箱
Starting Nuclear Warheads	起始核弹头
Starting Supply	起始补给
Storage Tank	储罐
Strategic Nuclear Threshold	战略核阈值
StratoLance R9	平流矛 R9
StratoLance R9 Launcher	平流矛 R9 发射器
Structural element	结构件
Stuck	卡住
Successful Sortie Bonus	成功出击奖励
Supplies fissile material for nuclear weapons. Having an enrichment plant ensures a steady supply of nuclear warheads.	为核武器提供裂变材料；拥有浓缩厂可保证核弹头稳定供应。
Support vehicle capable of rearming friendly units within 300m	保障车，可为 300m 内友军补弹。
Surf Class Patrol Boat	冲浪级巡逻艇
Surface Units Skill Multiplier	地面单位技能倍率
Synthetic fuel production unit capable of converting a large variety of organic feedstocks into fertilizer and combustible fuels.	合成燃料生产单元，可将多种有机原料转化为肥料与燃料。
T/A-30 Compass	T/A-30XE 超罗盘
T9K41 Boltstrike	T9K41 雷击
Tac Screen	战术屏幕
TacScreen always IR	战术屏幕始终红外
Tactical Nuclear Threshold	战术核阈值
Takeoff point for VTOL aircraft	垂直起降飞机起飞点
TBM HE	战术弹道导弹（高爆）
The 25mm rotary cannon fires dual purpose explosive shells, effective against aircraft or moderately armored surface targets.	25mm 转管炮发射双用途爆炸弹，可打击飞机或中等装甲地面目标。
The 35mm Autocannon packs a heavier punch than other aerial guns and is effective against many armored surface targets. Its superior ballistics allow it to remain effective at ranges exceeding 3000m.	比多数航炮更重的打击力，对多种装甲地面目标有效；弹道优越，有效射程可超过 3000m。
The AFV6 is a fast, lightweight multipurpose armoured vehicle. This is a short range air-defence variant, with a potent 20mm rotary cannon and an IRM-S1 launcher.	AFV6 是快速轻型多用途装甲车。本型为近程防空型，配备强力 20mm 转管炮与 IRM-S1 发射器。
The AFV6 is a fast, lightweight multipurpose armoured vehicle. This is an anti-armour variant, equipped with a large, long range multiple ATGM launcher. Internal stores of extra missiles reduce seating capacity substantially.	AFV6 是快速轻型多用途装甲车。本型为反装甲型，配备大型远程多联反坦克导弹发射器；额外导弹占用大幅降低载员。
The AFV6 is a fast, lightweight multipurpose armoured vehicle. This is the default variant, an armoured personnel carrier. The increased seating capacity allows it to capture locations faster than other variants.	AFV6 是快速轻型多用途装甲车。本型为默认装甲运兵型，载员更多，占领地点更快。
The AFV6 is a fast, lightweight multipurpose armoured vehicle. This variant is an infantry fighting vehicle with a 25mm cannon.	AFV6 是快速轻型多用途装甲车。本型为步兵战车，装备 25mm 机炮。
The AFV8 Armored Personnel Carrier is a fast troop transport with a roof mounted machine gun to counter low-flying aerial threats and soft ground targets	AFV8 装甲运兵车是快速运兵平台，车顶机枪可对付低空威胁与软地面目标。
The AGM-68 is a large, optically guided missile capable of destroying structures and heavily armored vehicles. It follows an unpredictable trajectory to avoid interception.	大型光学制导导弹，可摧毁建筑与重装甲车辆；飞行轨迹难以预测以规避拦截。
The ALND-4 (Air Launched Nuclear Deterrent) is a long range subsonic cruise missile carrying a tactical nuclear warhead.	ALND-4（空射核威慑）为远程亚音速巡航导弹，携带战术核弹头。
The ARAD-45 uses the same body as the RAM-45 missile, but with an anti-radiation seeker, which will lock on to radar emissions after launch, making it ideal for attacking SAM sites at medium range.	与 RAM-45 同弹体，换装反辐射导引头；发射后锁定雷达辐射，适合中距打击防空阵地。
The AT-145 is a short-range anti-tank guided missile designed for knocking out vehicles, emplacements and small buildings.	AT-145 短程反坦克导弹阵地，用于摧毁车辆、工事与小型建筑。
The Auger is a bunker busting gravity bomb with a precision guidance kit. It is capable of penetrating hardened structures before its large warhead detonates.	螺旋钻是配备精确制导组件的钻地重力炸弹，可穿透加固结构后引爆大型战斗部。
The Brawler is a reliable and rugged platform built to carry large quantities of precision weapons. Advanced propfan engines combine endurance with respectable speed, while redundant control surfaces, isolated engines, and heavy cockpit armor provide excellent survivability. The A-19 is in its element when attacking convoys of vehicles, distributed short-range air defenses, or vessels operating in coastal waters.	搏击者是坚固可靠的对地平台，可挂载大量精确武器。先进的螺旋桨风扇发动机兼顾续航与速度；冗余舵面、隔离发动机与厚重座舱装甲提供出色生存力。擅长打击车队、分散的近程防空与近海舰船。
The EW-25 is a short take-off, vertical landing (STOVL) support aircraft with a variety of powerful electronic warfare systems. Able to triangulate radar positions, jam enemy radar installations, suppress air defences, and even shoot down missiles with a high energy laser, a single Medusa can easily turn the tide of a battle.	EW-25 为短距起飞垂直着陆（STOVL）支援机，装备强大电子战系统。可三角定位雷达、干扰敌雷达、压制防空，甚至以高能激光击落导弹——单机即可扭转战局。
The FS-12 Revoker is built for agility above all else, capable of extreme maneuvers at almost any speed. Internal weapon bays help reduce drag, allowing supersonic speeds even at low altitudes and with heavy payloads. While less stealthy than newer fighters, the Revoker remains a cost-effective means of establishing air superiority.	FS-12 撤销者以机动为先，几乎任何速度都能做极限机动。内置武器舱降低阻力，即使低空重载也能超音速。隐身不及新一代战机，但仍是建立制空权的高性价比选择。
The Hyperion class features a short take-off ramp and arrestor gear on its landing runway, and can accommodate a variety of aircraft types. Defended by two MMR-S3 batteries, one RAM-45 launcher, and two 30mm CIWS turrets, this fleet carrier is capable of countering most aerial threats.	许珀里翁级设有滑跃起飞甲板与着舰拦阻索，可容纳多种机型。防御含两套 MMR-S3、一座 RAM-45 与两座 30mm 近防炮，可应对多数空中威胁。
The IRM-S1 is a man-portable air defense system (MANPADS) effective at countering air threats within 5km. An infrared homing seeker allows the missile to lock onto any aerial target with a heat signature.	IRM-S1 便携式防空系统（MANPADS），可在 5km 内应对空中威胁；红外导引头可锁定有热特征的空中目标。
The LCV25 is a 4x4 all terrain vehicle, offered in AA or AT configurations, combining the agility of a light recon vehicle with the firepower of heavier fighting vehicles. It is air transportable, with 2 units fitting inside the cargo bay of a VL-49 Tarantula.	LCV25 为 4×4 全地形车，有防空/反坦克构型，兼具轻侦机动与较重火力。可空运，VL-49 狼蛛货舱可装 2 辆。
The SAH-46 Chicane retains a traditional attack helicopter configuation while incorporating upgrades that keep it a formidable presence on the battlefield of the late 21st Century. Cutting edge stealth technology allows the Chicane to conduct pop-up attacks from behind terrain and disappear from radar without a trace.	SAH-46 减速弯保持传统武装直升机布局，同时升级以在 21 世纪末战场保持威胁。尖端隐身技术使其可从地形后突然跃起攻击并从雷达上消失。
The Surf Class is an inshore patrol vessel, nominally used for border protection and anti-piracy duties. While it lacks the staying power of larger ships, its speed and complement of vertically launched AGM-48s can make it a credible threat to them. The 30mm main gun has proximity fused shells and provides some amount of self-protection against missile attack.	冲浪级为近岸巡逻舰，名义上用于边境与反海盗。虽缺乏大型舰的续航与防护，但其速度与垂直发射 AGM-48 仍可构成威胁。30mm 主炮有近炸弹，可提供一定反导自卫。
THEME	主题
This 400kg cluster bomb dispenses 8 GS25 submunitions capable of independently finding and targeting hostile units in the vicinity.	400kg 集束炸弹，抛撒 8 枚 GS25 子弹药，可独立搜索并攻击附近敌方单位。
This anti-radiation missile will lock on to radar emissions after launch, making it ideal for attacking SAM sites at beyond visual range.	反辐射导弹，发射后锁定雷达辐射，适合超视距打击防空阵地。
This anti-ship cruise missile can be launched from aircraft or vertically by the Dynamo class Destroyer, using sea-skimming technique and supersonic speeds to penetrate the enemy's air defense systems.	反舰巡航导弹，可由飞机或发电机级驱逐舰垂直发射；掠海超音速突防。
This anti-ship missile has a very low altitude cruise profile with a pop-up terminal attack mode designed to penetrate ship defenses. Can be deployed from aircraft or launched from an Argus Class Frigate.	反舰导弹采用超低空巡航与末端跃升攻击以穿透舰艇防御；可由飞机或阿尔戈斯级护卫舰发射。
This armored air defense vehicle combines off-road mobility with 12 short-range IR missiles capable of engaging low-flying aircraft	装甲防空车，越野机动并携带 12 枚近程红外导弹，可打击低空飞机。
This compact warship is well equipped for defending coastal areas, armed with a 57mm cannon, 20mm point defense system, and battery of vertically launched RAM-45 missiles. A small landing pad at the stern allows it to serve as a mobile re-arming and refueling point for helicopters.	紧凑军舰，适合近海防御；装备 57mm 炮、20mm 点防与垂直发射 RAM-45。舰尾小型甲板可为直升机提供机动补给加油点。
This formidable anti-air unit incorporates a radar capable of tracking multiple aerial targets at a range of up to 15km, and carries 16 vertical-launch missiles which can be fired in rapid succession	强大防空单位，整合约 15km 多目标跟踪雷达，并携带 16 枚可快速连射的垂直发射导弹。
This glide bomb deploys folding wings, giving it an extended range from altitude. Guided by an optical seeker during the terminal phase, the PAB-80LR features a small radar cross-section and no IR signature.	展开折叠翼的滑翔炸弹，可从高空获得更远射程；末端由光学导引头制导，雷达截面小且无红外特征。
This guided missile destroyer is armed with a battery of vertically launched cruise missiles and a 155mm railgun in its forward turret. Its powerful defensive armament of two MMR-S3 batteries, three R9 vertical launchers and four 30mm CIWS turrets, makes the Dynamo class a powerful warship, able to defend a fleet from any threat.	导弹驱逐舰，装备垂直发射巡航导弹与前部 155mm 轨道炮。防御含两套 MMR-S3、三具 R9 垂直发射与四座 30mm 近防炮，可防护舰队免受多数威胁。
This gun shoots 30mm explosive shells effective against armored ground vehicles and buildings at ranges of over 2km (1.3m).	发射 30mm 爆炸弹，可打击装甲车辆与建筑，射程超过 2km。
This heavy machine gun mounted on a tripod is low-cost means of defending point targets from light vehicles and low flying helicopters. Its small size and low profile make it difficult to spot from a distance.	三角架重机枪阵地，低成本防御轻型车辆与低空直升机；体积小、轮廓低，远距离难以发现。
This manually aimed static air defense position is a simple and low-cost means of defending point targets from helicopters and other low-flying aircraft. Its small size and low profile make it difficult to spot from a distance.	手动瞄准的固定防空阵地，低成本防御直升机与低空飞机；轮廓低，不易被远距离发现。
This modified AGM-48 replaces the missile's usual warhead with a panoramic optical sensor suite capable of detecting enemy targets and registering them as contacts on faction datalink	改装 AGM-48，以全景光学传感器套件取代战斗部，可探测敌军目标并登记为阵营数据链接触。
This rotary cannon fires 20mm explosive shells at 6000 rounds per minute, making it highly effective against aerial targets.	该转管炮以每分钟 6000 发发射 20mm 爆炸弹，对空目标极为有效。
This self-propelled anti-aircraft gun sports twin 30mm autocannons firing proximity-fused shells, capable of accurately striking fast-moving targets at ranges of over 4000m	自行高炮，双联 30mm 近炸引信机炮，可在 4000m 外精确打击快速目标。
This trailer is equipped with a 20mm rotary gun to provide point defence against shells, missiles, bombs, and low flying aircraft.	拖车装备 20mm 转管炮，对炮弹、导弹、炸弹与低空飞机实施点防御。
This transportable air defense missile launcher capable of engaging aerial targets within 15km. It can be deployed by a utility aircraft and obtains target info from a nearby radar.	可运输防空导弹发射器，约 15km 内打击空中目标；可由运输机部署，并从附近雷达获取目标信息。
This transportable air defense radar unit can track multiple targets at ranges of up to 17km. It can be deployed by a utility aircraft and is able to provide target info to nearby SAM batteries.	可运输防空雷达，约 17km 内跟踪多目标；可由运输机部署，并向附近防空连提供目标信息。
This upfit for the AFV8 chassis features a 25mm cannon and anti-armor missile launcher, turning it into a fast infantry fighting vehicle.	在 AFV8 底盘上加装 25mm 机炮与反装甲导弹，成为快速步兵战车。
Though lightly armed and armored, the LCV45 is a fast vehicle ideal for forward scouting	武防薄弱但速度快，适合前方侦察。
Time	时间
Time Factor	时间倍率
Time of Day	一天中的时间
Title	标题
TOP	顶部
Top panel position	顶栏位置
Tower Crane	塔式起重机
Tractor unit for hauling trailer systems	牵引挂车系统的牵引车。
TRENDING	热门
Truss 50m	桁架 50m
Tusko-B (HE)	图斯科-B（高爆）
Type-12 MBT	12式主战坦克
UH-90 Ibis	UH-90XE 眼镜王蛇
Unable to reserve from faction's inventory	无法从阵营库存预留
Unguided air-to-air rocket with a 1.5kt nuclear warhead and a 12-second time delay fuse. Why is this still in the inventory?	无制导空空火箭，携带 1.5kt 核弹头与 12 秒延时引信。为什么还在库存里？
UNIT SYTEM	单位制
Units, Map & Color Codes	单位、地图与色标
Untitled Mission	未命名任务
Upon arrival within 2.5km (1.6mi) of the designated target, this 500kg glide bomb dispenses 12 GS25 submunitions capable of independently finding and targeting hostile units in the vicinity.	到达指定目标约 2.5km 内后，这枚 500kg 滑翔弹抛撒 12 枚 GS25 子弹药，可独立搜索并攻击附近敌方单位。
User	用户
Using a combination of inertial guidance and terminal radar homing, the Scythe can engage aerial targets at beyond visual range	结合惯性制导与末端雷达寻的，镰刀可在超视距打击空中目标。
value	价值
Vehicle deployment facility. Can defend itself with small arms fire.	车辆部署设施，可以轻武器自卫。
Vehicle Depot	车辆仓库
Velocity Pitch Damping	速度俯仰阻尼
Vertical Factory	垂直工厂
Vertically launched missile effective against aerial radar returns at a range up to 15km	垂直发射导弹，对空中雷达回波有效射程约 15km。
VL-49 Tarantula	VL-49XE 噬鸟蛛
VT-7 Vagrant	VT-7XE 空域流浪者
Warheads to keep in reserve	预留弹头数量
While the Type 12 may be a legacy design, it still remains a formidable presence on the battlefield. It offers better protection per unit weight than its contemporaries, owing to its novel monocoque composite hull & turret that give the Type-12 its signature shape. Its armament consists of a 130mm cannon firing hypervelocity SABOT rounds and a turreted 12.7mm machine gun.	12 式虽是旧设计，仍是战场劲旅。单体复合材料车体与炮塔赋予标志外形，单位重量防护优于同代。武器含发射超高速脱壳穿甲弹的 130mm 炮与炮塔 12.7mm 机枪。
Width	宽度
Wind Direction	风向
Wind Speed	风速
Wind Turbulence	风湍流
With a liberal application of armour and weapon modules, the latest iterations of the Spearhead are as protected as they are powerful. The combination of 130mm main gun and ATGM launcher allow it to hold its own against larger numbers of enemy armoured units, while the roof mounted 20kw pulse laser can protect the relatively thinner top armour against missiles. Its ever-growing list of capabilities has come with a diminished top speed and a total weight far exceeding its original design specifications.	大量装甲与武器模块使最新矛头既强又硬。130mm 主炮与反坦克导弹使其能以少打多；车顶 20kW 脉冲激光可保护相对薄弱的顶部装甲免受导弹打击。能力清单不断变长，代价是极速下降与远超原设计的重量。
Wreck HLT	残骸（重型后勤车）
Wreck MBT	残骸（主战坦克）
Wrecks Despawn Time	残骸消失时间

# Splash / community / mission editor (absorbed from missed_zh.txt @ 0.0.9.82)
Join our Community	加入我们的社区
Early Access Version 0.34	抢先体验版 0.34
Early Access Version	抢先体验版
Change Log	更新日志
Changelog	更新日志
Development Roadmap	开发路线图
Merch Store	周边商店
Control Changes	操作变更
Did you know?	你知道吗？
Did you know	你知道吗
MISSION EDITOR	任务编辑器
Mission Editor	任务编辑器
iallemege?	IAllemege?
IAllemege	IAllemege
By IAllemege	By IAllemege
Tutorial 1 - Taxi and Takeoff	教程 1 - 滑行与起飞
Tutorial 2 - Landing	教程 2 - 着陆
Tutorial 3 - Targeting and Weapons	教程 3 - 瞄准与武器
Tutorial 4 - Infrared Countermeasures	教程 4 - 红外对抗
Tutorial 5 - Radar Countermeasures	教程 5 - 雷达对抗
01. Convoy Attack	01. 车队奇袭
Convoy Attack	车队奇袭
02. Round Up	02. 围歼行动
Round Up	围歼行动
03. Point Blank	03. 近距突击
Point Blank	近距突击
04. Cruise Missile Interception	04. 巡航导弹拦截
Cruise Missile Interception	巡航导弹拦截
05. Furball	05. 空中混战
Furball	空中混战
06. Bridge Defense	06. 大桥防御
Bridge Defense	大桥防御
07. Blackout	07. 灯火管制
Blackout	灯火管制
08. Infiltration	08. 渗透突袭
Infiltration	渗透突袭
09. Depot Strike	09. 仓库打击
Depot Strike	仓库打击
10. Dustbowl	10. 尘盆
Dustbowl	尘盆
11. Expedition	11. 远征
Expedition	远征
12. Shifting Tide	12. 潮汐转向
Shifting Tide	潮汐转向
13. Reprisal	13. 报复打击
Reprisal	报复打击
14. To Sink a Carrier	14. 击沉航母
To Sink a Carrier	击沉航母
15. Breaking the Atoll	15. 突袭环礁
Breaking the Atoll	突袭环礁
Altercation	冲突
Breakout	突围
Carrier Duel	航母对决
Confrontation	对峙
Domination	主宰
Escalation	全面升级
Terminal Control	终端控制
Altercation Co-op as BDF	冲突协作（BDF）
Altercation Co-op as PALA	冲突协作（PALA）
Confrontation Co-op as BDF	对峙协作（BDF）
Confrontation Co-op as PALA	对峙协作（PALA）
Domination Co-op as BDF	主宰协作（BDF）
Domination Co-op as PALA	主宰协作（PALA）
Escalation Co-op as PALA	升级协作（PALA）
Terminal Control Co-op as BDF	终端控制协作（BDF）
Terminal Control Co-op as PALA	终端控制协作（PALA）
Mission Briefing	任务简报
Start Mission	开始任务
Leave Mission	离开任务
Primary Objective	主要目标
Secondary Objective	次要目标
Mission Successful!	任务成功！
Mission Complete!	任务完成！
All Objectives are complete! Leave the area and RTB.	全部目标已完成！撤离并返航。
Priority targets have been added to your HUD.	优先目标已添加到抬头显示。
Excellent work! Return safely to base to complete the mission.	出色！安全返航以完成任务。
The enemy installation has been removed, mission accomplished!	敌方设施已清除，任务完成！
Enemy aircraft production facilities are destroyed. Mission accomplished.	敌方飞机制造设施已摧毁。任务完成。
The enemy has capitulated. We are victorious!	敌军已投降。我们胜利了！
Naval reinforcements are enroute. ETA 10 minutes.	海军增援正在途中。预计 10 分钟。
Naval reinforcements have arrived.	海军增援已抵达。
Enemy carrier spotted.	发现敌方航母。
PALA's carrier is sinking. BDF is victorious!	PALA 航母正在沉没。BDF 胜利！
BDF's carrier is sinking. PALA is victorious!	BDF 航母正在沉没。PALA 胜利！
Well done, the threat has been neutralized.	干得好，威胁已被清除。
Convoy has been spotted. Lets get to work.	发现车队。开始行动。
Excellent work, every convoy vehicle has been destroyed.	出色，车队车辆已全部摧毁。
Hint	提示
Hints	提示
Tip	提示
Loading Tip	加载提示
CI-22XE Super Cricket	CI-22XE 超级蟋蟀
T/A-30XE Super Compass	T/A-30XE 超罗盘
VT-7XE Airspace Vagrant	VT-7XE 空域流浪者
UH-90XE King Cobra	UH-90XE 眼镜王蛇
SAH-46XE Gulfstream	SAH-46XE 湾流
NOTA-10XE Super Warthog	NOTA-10XE 超疣猪
FS-12XE 'Special' Liberator	FS-12XE '特殊'解放者
FS-20XE Mad Vortex	FS-20XE 狂涡
VL-49XE Bird-Eating Spider	VL-49XE 噬鸟蛛
KR-67XE Fallen Angel	KR-67XE 堕天使
EW-25XE Medusa	EW-25XE 美杜莎
SFB-81XE Darkreach	SFB-81XE 暗域
AB-4XE Hummingbird	AB-4XE 蜂鸟
shot down	击落
destroyed	摧毁
demolished	拆除
intercepted	拦截
sank	击沉
crashed	坠毁
was destroyed	被摧毁
collapsed	坍塌
XE版本的性能修改的同时也对名称进行了修改	XE版本的性能修改的同时也对名称进行了修改
